timestamp,manga_id,title,reason,comick_best,similarity,comick_chapters
2026-04-01T20:22:19+00:00,6322,"[END] Aku, yang Bodoh di Dunia Ini, Menjadi Seorang Putri [Dreamylatte Scans]",no_comick_match,,,
2026-04-01T20:22:55+00:00,6322,"[END] Aku, yang Bodoh di Dunia Ini, Menjadi Seorang Putri [Dreamylatte Scans]",no_source_match,,,
2026-04-01T20:28:26+00:00,12860,Aku...ratu?! (Official),no_source_match,,,42.0
2026-04-01T20:29:09+00:00,12868,"Aku cerai tapi kaya ""KELSES""",no_comick_match,,,
2026-04-01T20:29:22+00:00,12868,"Aku cerai tapi kaya ""KELSES""",no_source_match,,,
2026-04-01T20:29:41+00:00,12880,The Dying Emperor's Personal Physician [Official],no_source_match,,,43.0
2026-04-01T20:31:27+00:00,12936,Emperor's Mark to Rule the Monsters: Reborn Sage to Strongest Adventurer [Official],no_source_match,,,5.0
2026-04-01T20:32:48+00:00,12978,Aturan Lady untuk Bertahan Hidup (Official),no_source_match,,,74.0
2026-04-01T20:33:07+00:00,12985,"Isekai ni Kyuuseishu to shite Yobaremashita ga, Around 30 ni wa Muri na no de, hissori Book Café Hajimemashita.",no_source_match,,,26.5
2026-04-01T20:42:44+00:00,13204,A irmã do Tirano,no_source_match,,,20.0
2026-04-01T20:47:15+00:00,13339,Little Raider Princess System,no_source_match,,,19.0
2026-04-01T20:47:58+00:00,13443,Rinata in circostanze comuni,no_comick_match,,,
2026-04-01T20:48:03+00:00,13443,Rinata in circostanze comuni,no_source_match,,,
2026-04-01T20:58:57+00:00,14089,Youjo to Sukoppu to Magan Ou (Official),no_source_match,,,27.0
2026-04-01T21:06:23+00:00,14349,Keuntungan Bagi Sang Perasuk [ RIIIN ],no_source_match,,,126.0
2026-04-01T21:06:23+00:00,14354,Einen Koyou wa Kanou deshou ka ? / Is Long-Term Employment Possible?,no_comick_match,,,
2026-04-01T21:06:47+00:00,14354,Einen Koyou wa Kanou deshou ka ? / Is Long-Term Employment Possible?,no_source_match,,,
2026-04-01T21:07:39+00:00,14381,Murazukuri Game no NPC ga Namami no Ningen to Shika Omoenai (Official),no_source_match,,,30.0
2026-04-01T21:14:05+00:00,14785,"Hyouken no Majutsushi ga Sekai o Suberu - Sekai Saikyou no Majutsushi de Aru Shounen wa, Majutsu Gakuin ga Nyuugaku Suru (Official)",no_source_match,,,132.0
2026-04-01T21:14:49+00:00,14830,Ria Anak Keitel [Official],no_comick_match,,,
2026-04-01T21:15:10+00:00,14830,Ria Anak Keitel [Official],no_source_match,,,
2026-04-01T21:21:47+00:00,16762,Cheat Skill [Resurrection],no_comick_match,,,
2026-04-01T21:49:37+00:00,54889,Rezo Scan,no_source_match,,,50.0
2026-04-01T22:07:31+00:00,108992,Tsuihousareta Jougenshi no Guild Keiei Guild [ Rithar scans ],no_comick_match,,,
2026-04-02T12:13:09+00:00,12603,"It Seems My Lady Is the Villainess with Only a Bad End, so I'm Thinking of Saving Her",no_source_match,,,4.0
2026-04-02T12:36:07+00:00,61049,"A Court Magician, Who Was Focused On Supportive Magic Because His Allies Were Too Weak, Aims To Become The Strongest After Being Banished",no_comick_match,,,
2026-04-02T12:58:04+00:00,74768,Mezase Gouka Kyakusen!!,no_comick_match,,,
2026-04-02T13:19:21+00:00,86106,"My Noble Family Is Headed for Ruin, so I May as Well Study Magic in My Free Time",no_comick_match,,,
2026-04-02T13:20:24+00:00,86382,"The Daughter is a Former Veterinarian Has Been Abandoned, but Is Very Popular With Mofumofu!",no_source_match,,,24.0
2026-04-02T13:29:48+00:00,93510,The Civil Servant Hunter’S S-Class Resignation Log,no_source_match,,,41.0
2026-04-02T13:50:43+00:00,117515,Wagamama Oujo ni Tsukaeta Bannoushitsuji,no_comick_match,,,
2026-04-02T13:50:48+00:00,117515,Wagamama Oujo ni Tsukaeta Bannoushitsuji,no_source_match,,,
2026-04-02T13:52:56+00:00,132842,I'm a Middle-Aged Man Who Got My Adventurer License Revoked,no_source_match,,,5.5
